County,n,long,lat,group,order,region
lake,6,-81.56053924560547,29.18647003173828,324,13394,florida
lake,6,-81.54908752441406,29.17500877380371,324,13395,florida
lake,6,-81.52043151855469,29.146364212036133,324,13396,florida
lake,6,-81.486053466796875,29.09479522705078,324,13397,florida
lake,6,-81.47460174560547,29.083337783813477,324,13398,florida
lake,6,-81.46314239501953,29.083337783813477,324,13399,florida
lake,6,-81.4459457397461,29.0604190826416,324,13400,florida
lake,6,-81.43449401855469,29.037500381469727,324,13401,florida
lake,6,-81.40584564208984,29.01458168029785,324,13402,florida
lake,6,-81.36573791503906,29.008852005004883,324,13403,florida
lake,6,-81.3542709350586,28.957286834716797,324,13404,florida
lake,6,-81.34854888916016,28.922910690307617,324,13405,florida
lake,6,-81.33708953857422,28.911449432373047,324,13406,florida
lake,6,-81.34281921386719,28.85988426208496,324,13407,florida
lake,6,-81.36573791503906,28.842697143554688,324,13408,florida
lake,6,-81.38865661621094,28.831235885620117,324,13409,florida
lake,6,-81.3943862915039,28.81404685974121,324,13410,florida
lake,6,-81.3943862915039,28.773941040039062,324,13411,florida
lake,6,-81.6350326538086,28.773941040039062,324,13412,florida
lake,6,-81.64076232910156,28.665077209472656,324,13413,florida
lake,6,-81.61210632324219,28.642160415649414,324,13414,florida
lake,6,-81.60065460205078,28.61924171447754,324,13415,florida
lake,6,-81.61783599853516,28.590595245361328,324,13416,florida
lake,6,-81.64076232910156,28.550485610961914,324,13417,florida
lake,6,-81.64076232910156,28.33849334716797,324,13418,florida
lake,6,-81.78972625732422,28.344223022460938,324,13419,florida
lake,6,-81.79545593261719,28.349952697753906,324,13420,florida
lake,6,-81.86421203613281,28.355680465698242,324,13421,florida
lake,6,-81.86421203613281,28.33849334716797,324,13422,florida
lake,6,-81.95014953613281,28.33849334716797,324,13423,florida
lake,6,-81.94441986083984,28.951557159423828,324,13424,florida
lake,6,-81.6636734008789,28.945829391479492,324,13425,florida
lake,6,-81.65794372558594,28.951557159423828,324,13426,florida
lake,6,-81.65221405029297,29.043231964111328,324,13427,florida
lake,6,-81.64076232910156,29.043231964111328,324,13428,florida
lake,6,-81.6350326538086,29.255224227905273,324,13429,florida
lee,18,-82.0819320678711,26.76285743713379,325,13431,florida
lee,18,-81.5719985961914,26.76285743713379,325,13432,florida
lee,18,-81.5719985961914,26.510757446289062,325,13433,florida
lee,18,-81.5719985961914,26.4305419921875,325,13434,florida
lee,18,-81.669403076171875,26.424814224243164,325,13435,florida
lee,18,-81.669403076171875,26.31595230102539,325,13436,florida
lee,18,-81.81837463378906,26.31595230102539,325,13437,florida
lee,18,-81.81837463378906,26.333139419555664,325,13438,florida
lee,18,-81.85274505615234,26.327411651611328,325,13439,florida
lee,18,-81.85274505615234,26.373247146606445,325,13440,florida
lee,18,-81.85274505615234,26.39616584777832,325,13441,florida
lee,18,-81.87567138671875,26.413354873657227,325,13442,florida
lee,18,-81.87567138671875,26.4305419921875,325,13443,florida
lee,18,-81.87567138671875,26.453460693359375,325,13444,florida
lee,18,-81.88713073730469,26.453460693359375,325,13445,florida
lee,18,-81.91577911376953,26.442001342773438,325,13446,florida
lee,18,-81.9329605102539,26.44773292541504,325,13447,florida
lee,18,-81.96734619140625,26.487838745117188,325,13448,florida
lee,18,-81.9902572631836,26.487838745117188,325,13449,florida
lee,18,-82.00745391845703,26.510757446289062,325,13450,florida
lee,18,-82.00745391845703,26.522216796875,325,13451,florida
lee,18,-81.984527587890625,26.539405822753906,325,13452,florida
lee,18,-81.9902572631836,26.550865173339844,325,13453,florida
lee,18,-82.01890563964844,26.550865173339844,325,13454,florida
lee,18,-82.04756164550781,26.550865173339844,325,13455,florida
lee,18,-82.05901336669922,26.56232452392578,325,13456,florida
lee,18,-82.06474304199219,26.585241317749023,325,13457,florida
lee,18,-82.06474304199219,26.625349044799805,325,13458,florida
lee,18,-82.076202392578125,26.648265838623047,325,13459,florida
lee,18,-82.09339904785156,26.665456771850586,325,13460,florida
lee,18,-82.09912109375,26.688373565673828,325,13461,florida
lee,18,-82.09339904785156,26.734210968017578,325,13462,florida
lee,18,-82.0819320678711,26.76285743713379,325,13463,florida
leon,4,-84.08728790283203,30.676158905029297,326,13465,florida
leon,4,-84.01280212402344,30.67043113708496,326,13466,florida
leon,4,-84.00707244873047,30.613136291503906,326,13467,florida
leon,4,-83.96123504638672,30.550111770629883,326,13468,florida
leon,4,-83.9841537475586,30.515731811523438,326,13469,florida
leon,4,-84.00707244873047,30.515731811523438,326,13470,florida
leon,4,-84.02998352050781,30.527193069458008,326,13471,florida
leon,4,-84.02998352050781,30.446979522705078,326,13472,florida
leon,4,-84.070098876953125,30.441247940063477,326,13473,florida
leon,4,-84.07582092285156,30.275089263916016,326,13474,florida
leon,4,-84.247711181640625,30.275089263916016,326,13475,florida
leon,4,-84.247711181640625,30.309467315673828,326,13476,florida
